county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Marin,SAUSALITO-MARIN CITY ELEMENTARY,15,49727,76194,94523,77875,Sausalito-Marin City Elementary
Tulare,SPRINGVILLE UNION ELEMENTARY,15,41598,61391,77640,58890,Springville Union Elementary
San Luis Obispo,CAYUCOS ELEMENTARY,15.55,42654,66591,89570,67243,Cayucos Elementary
Kings,LAKESIDE UNION ELEMENTARY,16,39993,51198,78008,55360,Lakeside Union Elementary
Tuolumne,TWAIN HARTE-LONG BARN UN ELEMENTARY,16,50854,74281,90439,65331,Twain Harte-Long Barn Un Elementary
Santa Barbara,CUYAMA JOINT UNIFIED,16.5,42068,59353,76526,62750,Cuyama Joint Unified
San Joaquin,BANTA ELEMENTARY,16.91,45654,65954,79593,63810,Banta Elementary
Mariposa,MARIPOSA COUNTY OFFICE OF ED.,16.95,36454,58919,69787,56205,Mariposa County Office Of Ed.
Placer,FORESTHILL UNION ELEMENTARY,17.4,45293,64693,72050,59570,Foresthill Union Elementary
Tulare,SUNNYSIDE UNION ELEMENTARY,17.4,41122,58632,76839,58775,Sunnyside Union Elementary
Tulare,ROCKFORD ELEMENTARY,17.6,41869,58498,74701,63431,Rockford Elementary
Sacramento,ARCOHE UNION ELEMENTARY,17.9,40168,67400,71287,60024,Arcohe Union Elementary
Madera,ALVIEW-DAIRYLAND UNION ELEMENTARY,18,38295,56523,69402,52895,Alview-Dairyland Union Elementary
Tulare,LIBERTY ELEMENTARY,18,41315,54807,71657,56256,Liberty Elementary
Imperial,SEELEY UNION ELEMENTARY,18,45812,69740,83816,66037,Seeley Union Elementary
San Bernardino,TRONA JOINT UNIFIED,18,43274,70916,83949,67311,Trona Joint Unified
San Joaquin,OAK VIEW UNION ELEMENTARY,18.13,36792,65955,80362,59211,Oak View Union Elementary
Humboldt,FRESHWATER ELEMENTARY,18.34,37521,58912,69092,54680,Freshwater Elementary
Merced,BALLICO-CRESSEY ELEMENTARY,19,33418,52432,68540,52466,Ballico-Cressey Elementary
Sutter,FRANKLIN ELEMENTARY,19,42333,72491,83032,63914,Franklin Elementary
Merced,LE GRAND UNION ELEMENTARY,19,42293,62688,73966,61545,Le Grand Union Elementary
Tulare,MONSON-SULTANA JOINT UN ELEMENTARY,19,44133,68352,78988,59042,Monson-Sultana Joint Un Elementary
Tehama,TEHAMA COUNTY OFFICE OF ED.,19,41558,62701,79455,66536,Tehama County Office Of Ed.
Tuolumne,TUOLUMNE COUNTY OFFICE OF ED.,19,41238,55934,76632,61153,Tuolumne County Office Of Ed.
Imperial,WESTMORLAND UNION ELEMENTARY,19,43692,65358,85105,67259,Westmorland Union Elementary
Tuolumne,JAMESTOWN ELEMENTARY,19.1,38528,61953,74488,56268,Jamestown Elementary
Humboldt,RIO DELL ELEMENTARY,19.9,38474,56730,68847,54973,Rio Dell Elementary
Sonoma,GEYSERVILLE UNIFIED,19.93,42729,60326,72273,58823,Geyserville Unified
Kern,BUTTONWILLOW UNION ELEMENTARY,20,41650,54152,82117,59323,Buttonwillow Union Elementary
Placer,COLFAX ELEMENTARY,20,40871,61016,71879,55830,Colfax Elementary
El Dorado,PIONEER UNION ELEMENTARY,20,37842,61499,79219,56410,Pioneer Union Elementary
San Mateo,BAYSHORE ELEMENTARY,20.03,44751,59409,83964,67237,Bayshore Elementary
Sonoma,FORESTVILLE UNION ELEMENTARY,20.3,46695,63257,78686,60226,Forestville Union Elementary
Tulare,KINGS RIVER UNION ELEMENTARY,20.5,35870,67986,78932,60682,Kings River Union Elementary
Mendocino,POTTER VALLEY COMMUNITY UNIFIED,20.69,33000,49572,66342,49016,Potter Valley Community Unified
Siskiyou,BUTTE VALLEY UNIFIED,20.71,37274,52142,74811,50504,Butte Valley Unified
Humboldt,JACOBY CREEK ELEMENTARY,20.96,32279,62515,69875,58006,Jacoby Creek Elementary
Tulare,ALPAUGH UNIFIED,21,41661,51665,73349,56664,Alpaugh Unified
Sutter,BRITTAN ELEMENTARY,21,38959,70639,81533,58581,Brittan Elementary
Tehama,GERBER UNION ELEMENTARY,21,43967,64934,79862,59255,Gerber Union Elementary
San Luis Obispo,SHANDON JOINT UNIFIED,21,40930,59403,71150,57146,Shandon Joint Unified
Imperial,MEADOWS UNION ELEMENTARY,22,43364,73819,93303,68334,Meadows Union Elementary
Tulare,OAK VALLEY UNION ELEMENTARY,22,44584,59782,76348,64995,Oak Valley Union Elementary
Placer,NEWCASTLE ELEMENTARY,22.95,39965,62817,81267,56711,Newcastle Elementary
El Dorado,GOLD OAK UNION ELEMENTARY,23,36730,61914,74130,54519,Gold Oak Union Elementary
Trinity,MOUNTAIN VALLEY UNIFIED,23,39392,56505,71573,55181,Mountain Valley Unified
Tulare,PALO VERDE UNION ELEMENTARY,24,43230,69548,79750,64090,Palo Verde Union Elementary
Tulare,PLEASANT VIEW ELEMENTARY,24.53,42609,65411,84174,66417,Pleasant View Elementary
Tuolumne,BIG OAK FLAT-GROVELAND UNIFIED,24.54,45149,61995,74958,55740,Big Oak Flat-Groveland Unified
Sierra,SIERRA-PLUMAS JOINT UNIFIED,24.62,34346,58162,74075,52425,Sierra-Plumas Joint Unified
Mendocino,ROUND VALLEY UNIFIED,24.93,41989,55266,72992,51707,Round Valley Unified
Tuolumne,COLUMBIA UNION ELEMENTARY,25,42134,57755,68969,54625,Columbia Union Elementary
Tulare,WOODVILLE ELEMENTARY,25.41,51583,69413,87969,69826,Woodville Elementary
San Mateo,LA HONDA-PESCADERO UNIFIED,25.61,46079,66236,85147,64650,La Honda-Pescadero Unified
Calaveras,CALAVERAS COUNTY OFFICE OF ED.,25.74,44515,57876,79458,58663,Calaveras County Office Of Ed.
Mendocino,LAYTONVILLE UNIFIED,25.74,42896,53845,81304,53031,Laytonville Unified
Contra Costa,KNIGHTSEN ELEMENTARY,25.9,39211,65257,77607,66339,Knightsen Elementary
San Diego,JAMUL-DULZURA UNION ELEMENTARY,26,37611,68722,80838,56774,Jamul-Dulzura Union Elementary
Santa Barbara,SOLVANG ELEMENTARY,26.14,40656,62209,79816,59131,Solvang Elementary
Santa Clara,LOMA PRIETA JOINT ELEMENTARY,26.35,47366,68261,88788,65326,Loma Prieta Joint Elementary
