county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Tuolumne,TUOLUMNE COUNTY OFFICE OF ED.,19,"41,238","55,934","76,632","61,153",Tuolumne County Office Of Ed.
Imperial,WESTMORLAND UNION ELEMENTARY,19,"43,692","65,358","85,105","67,259",Westmorland Union Elementary
Tuolumne,JAMESTOWN ELEMENTARY,19.1,"38,528","61,953","74,488","56,268",Jamestown Elementary
Humboldt,RIO DELL ELEMENTARY,19.9,"38,474","56,730","68,847","54,973",Rio Dell Elementary
Sonoma,GEYSERVILLE UNIFIED,19.93,"42,729","60,326","72,273","58,823",Geyserville Unified
Kern,BUTTONWILLOW UNION ELEMENTARY,20,"41,650","54,152","82,117","59,323",Buttonwillow Union Elementary
Placer,COLFAX ELEMENTARY,20,"40,871","61,016","71,879","55,830",Colfax Elementary
El Dorado,PIONEER UNION ELEMENTARY,20,"37,842","61,499","79,219","56,410",Pioneer Union Elementary
San Mateo,BAYSHORE ELEMENTARY,20.03,"44,751","59,409","83,964","67,237",Bayshore Elementary
Sonoma,FORESTVILLE UNION ELEMENTARY,20.3,"46,695","63,257","78,686","60,226",Forestville Union Elementary
Tulare,KINGS RIVER UNION ELEMENTARY,20.5,"35,870","67,986","78,932","60,682",Kings River Union Elementary
Mendocino,POTTER VALLEY COMMUNITY UNIFIED,20.69,"33,000","49,572","66,342","49,016",Potter Valley Community Unified
Siskiyou,BUTTE VALLEY UNIFIED,20.71,"37,274","52,142","74,811","50,504",Butte Valley Unified
Humboldt,JACOBY CREEK ELEMENTARY,20.96,"32,279","62,515","69,875","58,006",Jacoby Creek Elementary
Tulare,ALPAUGH UNIFIED,21,"41,661","51,665","73,349","56,664",Alpaugh Unified
Sutter,BRITTAN ELEMENTARY,21,"38,959","70,639","81,533","58,581",Brittan Elementary
Tehama,GERBER UNION ELEMENTARY,21,"43,967","64,934","79,862","59,255",Gerber Union Elementary
San Luis Obispo,SHANDON JOINT UNIFIED,21,"40,930","59,403","71,150","57,146",Shandon Joint Unified
Imperial,MEADOWS UNION ELEMENTARY,22,"43,364","73,819","93,303","68,334",Meadows Union Elementary
Tulare,OAK VALLEY UNION ELEMENTARY,22,"44,584","59,782","76,348","64,995",Oak Valley Union Elementary
Placer,NEWCASTLE ELEMENTARY,22.95,"39,965","62,817","81,267","56,711",Newcastle Elementary
El Dorado,GOLD OAK UNION ELEMENTARY,23,"36,730","61,914","74,130","54,519",Gold Oak Union Elementary
Trinity,MOUNTAIN VALLEY UNIFIED,23,"39,392","56,505","71,573","55,181",Mountain Valley Unified
Tulare,PALO VERDE UNION ELEMENTARY,24,"43,230","69,548","79,750","64,090",Palo Verde Union Elementary
Tulare,PLEASANT VIEW ELEMENTARY,24.53,"42,609","65,411","84,174","66,417",Pleasant View Elementary
Tuolumne,BIG OAK FLAT-GROVELAND UNIFIED,24.54,"45,149","61,995","74,958","55,740",Big Oak Flat-Groveland Unified
Sierra,SIERRA-PLUMAS JOINT UNIFIED,24.62,"34,346","58,162","74,075","52,425",Sierra-Plumas Joint Unified
Mendocino,ROUND VALLEY UNIFIED,24.93,"41,989","55,266","72,992","51,707",Round Valley Unified
Tuolumne,COLUMBIA UNION ELEMENTARY,25,"42,134","57,755","68,969","54,625",Columbia Union Elementary
Tulare,WOODVILLE ELEMENTARY,25.41,"51,583","69,413","87,969","69,826",Woodville Elementary
San Mateo,LA HONDA-PESCADERO UNIFIED,25.61,"46,079","66,236","85,147","64,650",La Honda-Pescadero Unified
Calaveras,CALAVERAS COUNTY OFFICE OF ED.,25.74,"44,515","57,876","79,458","58,663",Calaveras County Office Of Ed.
Mendocino,LAYTONVILLE UNIFIED,25.74,"42,896","53,845","81,304","53,031",Laytonville Unified
Contra Costa,KNIGHTSEN ELEMENTARY,25.9,"39,211","65,257","77,607","66,339",Knightsen Elementary
San Diego,JAMUL-DULZURA UNION ELEMENTARY,26,"37,611","68,722","80,838","56,774",Jamul-Dulzura Union Elementary
Santa Barbara,SOLVANG ELEMENTARY,26.14,"40,656","62,209","79,816","59,131",Solvang Elementary
Santa Clara,LOMA PRIETA JOINT ELEMENTARY,26.35,"47,366","68,261","88,788","65,326",Loma Prieta Joint Elementary
Tuolumne,CURTIS CREEK ELEMENTARY,26.5,"38,604","63,678","79,672","54,673",Curtis Creek Elementary
Lake,UPPER LAKE UNION ELEMENTARY,26.55,"39,600","57,887","70,351","58,451",Upper Lake Union Elementary
Ventura,MESA UNION ELEMENTARY,26.83,"42,201","71,485","80,874","68,266",Mesa Union Elementary
Lassen,LASSEN COUNTY OFFICE OF ED.,27,"39,902","56,963","87,935","53,664",Lassen County Office Of Ed.
Tehama,LOS MOLINOS UNIFIED,27,"40,454","60,221","74,024","55,997",Los Molinos Unified
Santa Clara,LUTHER BURBANK ELEMENTARY,27,"48,406","75,127","97,407","78,958",Luther Burbank Elementary
Tuolumne,SOULSBYVILLE ELEMENTARY,27,"40,623","62,365","72,314","58,267",Soulsbyville Elementary
Ventura,BRIGGS ELEMENTARY,27.2,"42,397","69,524","83,883","63,693",Briggs Elementary
Santa Barbara,LOS OLIVOS ELEMENTARY,27.2,"39,000","62,868","81,000","65,000",Los Olivos Elementary
Siskiyou,MT. SHASTA UNION ELEMENTARY,27.6,"42,560","61,444","69,302","60,428",Mt. Shasta Union Elementary
Tulare,TIPTON ELEMENTARY,28,"46,155","67,503","80,508","62,644",Tipton Elementary
El Dorado,CAMINO UNION ELEMENTARY,28.7,"46,109","65,952","83,390","60,008",Camino Union Elementary
Humboldt,CUTTEN ELEMENTARY,28.7,"42,119","63,594","76,091","64,416",Cutten Elementary
Tulare,ALTA VISTA ELEMENTARY,29,"42,997","66,868","87,620","66,183",Alta Vista Elementary
Mendocino,MENDOCINO COUNTY OFFICE OF ED.,29.05,"40,752","62,385","74,155","58,686",Mendocino County Office Of Ed.
Stanislaus,CHATOM UNION ELEMENTARY,29.4,"37,465","68,943","87,519","63,190",Chatom Union Elementary
Colusa,COLUSA COUNTY OFFICE OF ED.,29.43,"46,890","67,202","75,454","67,451",Colusa County Office Of Ed.
Calaveras,VALLECITO UNION ELEMENTARY,29.46,"43,509","68,590","82,564","57,909",Vallecito Union Elementary
Fresno,WEST PARK ELEMENTARY,29.7,"39,411","51,037","70,419","45,796",West Park Elementary
Sonoma,SEBASTOPOL UNION ELEMENTARY,29.75,"36,903","67,970","73,094","59,306",Sebastopol Union Elementary
Placer,ACKERMAN ELEMENTARY,29.84,"44,361","62,477","77,948","59,358",Ackerman Elementary
San Mateo,BRISBANE ELEMENTARY,29.9,"46,893","71,747","91,339","71,749",Brisbane Elementary
San Diego,SAN PASQUAL UNION ELEMENTARY,29.9,"44,322","63,617","88,411","61,062",San Pasqual Union Elementary
Kern,LOST HILLS UNION ELEMENTARY,30,"40,034","59,265","72,804","62,690",Lost Hills Union Elementary
Humboldt,PACIFIC UNION ELEMENTARY,30.15,"44,724","60,425","72,981","57,489",Pacific Union Elementary
Tuolumne,SONORA ELEMENTARY,30.3,"42,005","59,354","80,853","59,883",Sonora Elementary
